 2680, -2554, 3224,
 -2060, 960, 3982,
 -4, -888, 5186,
 -282, -1446,
 748, 116, 4184,
 750, 78, 4198,
 826, 142, 4194,
 784, 68, 4142,
 796, 148, 4180,
 724, 154, 4174,
 958, 152, 4328,
 1108, 52, 4676,
 836, 222, 4156,
 300, 44, 4776,
 2, -142, 4306,
 -346, -1068, 3936,
 -1152, -1664, 3352,
 -1000, -2448, 3040,
 -1152, -3008, 2352,
 -1260, -3204, 1468,
 -1458, -4052, 230,
 -1676, -3802, -770,
 -1524, -3824, -278,
 -1584, -3734, 44,
 -1428, -3856, 364,
 -1390, -3760, 752,
 -1318, -3738, 1108,
 -1182, -3468, 1528,
 -1052, -3338, 1702,
 -974, -3336, 2388,
 -760, -2876, 2560,
 -630, -2758, 3208,
 -320, -2354, 3356,
 -312, -2074, 3764,
 60, -1676, 3732,
 2, -1200, 4212,
 250, -756, 4134,
 248, -500, 4402,
 766, 20, 4790,
 1110, 418, 4836,
 600, 88, 3996,
 732, 350, 4352,
 696, 210, 4134,
 896, 320, 4302,
 826, 220, 4186,
 808, 224, 4238,
 852, 380, 3960,
 900, -418, 4428,
 444, -16, 4376,
 394, -236, 4470,
 -204, -920, 4078,
 32, -1310, 3892,
 -148, -1858, 3720,
 -440, -2228, 3370,
 -780, -2600, 3068,
 -712, -2944, 2736,
 -808, -3168, 2392,
 -958, -3448, 2052,
 -1096, -3590, 1366,
 -980, -3700, 1374,
 -1152, -3700, 1020,
 -1096, -3620, 860,
 -1292, -3824, 416,
 -1268, -3836, 498,
 -1264, -3824, 692,
 -1200, -3734, 912,
 -1106, -3616, 1220,
 -1064, -3576, 1598,
 -848, -3512, 1780,
 -898, -3508, 2042,
 -706, -3250, 2414,
 -512, -2940, 2638,
 -396, -2638, 3220,
 -70, -2244, 3504,
 -180, -1934, 3896,
 48, -1324, 3748,
 608, -550, 4164,
 724, -474, 4246,
 688, 160, 4396,
 1420, 916, 4326,
 1360, 648, 4128,
 1064, 414, 4310,
 932, 420, 4064,
 1024, 396, 4090,
 1060, 160, 4074,
 788, -142, 4194,
 676, -496, 4314,
 708, -28, 4528,
 492, -270, 4344,
 -28, -852, 4428,
 -256, -1254, 3824,
 36, -1704, 3650,
 -484, -2278, 3694,
 -540, -2440, 2960,
 -796, -2936, 2766,
 -952, -3208, 2284,
 -996, -3338, 1892,
 -1152, -3544, 1366,
 -1200, -3602, 1038,
 -1302, -3730, 606,
 -1380, -3904, 536,
 -1432, -3740, 468,
 -1306, -3700, 572,
 -1288, -3802, 770,
 -1220, -3736, 1028,
 -1140, -3640, 1438,
 -924, -3480, 1740,
 -772, -3212, 2210,
 -684, -2890, 2776,
 -562, -2544, 3284,
 -228, -2018, 3608,
 -282, -1496, 3876,
 76, -1280, 4238,
 440, -718, 4500,
 668, -584, 4202,
 736, -104, 4604,
 500, -560, 3922,
 1132, 464, 4500,
 1184, 206, 4406,
 1000, 376, 4264,
 904, 480, 4134,
 784, 154, 4306,
 1004, 686, 4126,
 1008, 352, 4420,
 640, -16, 4384,
 610, -36, 4362,
 252, -420, 4418,
 -112, -724, 4176,
 -188, -1106, 3732,
 -372, -1912, 3608,
 -668, -2402, 3352,
 -376, -2612, 3020,
 -792, -3036, 2644,
 -898, -3436, 2048,
 -952, -3472, 1512,
