 -980, -3650, 1348,
 -840, -3452, 1904,
 -660, -3152, 2560,
 -206, -2716, 2872,
 -402, -2236, 3600,
 216, -1540, 3892,
 188, -700, 4772,
 704, -346, 4782,
 644, 156, 4306,
 1020, 138, 4212,
 784, 512, 4268,
 640, 452, 4208,
 540, 754, 4242,
 732, 448, 4060,
 644, 406, 4204,
 686, 476, 4228,
 686, 1080, 4198,
 830, 424, 4206,
 160, -488, 4726,
 652, -188, 4858,
 -592, -672, 3832,
 -424, -1336, 4008,
 -716, -1992, 3508,
 -840, -2270, 3056,
 -962, -3108, 2590,
 -712, -3344, 2042,
 -808, -3580, 1584,
 -920, -3712, 878,
 -1150, -3814, 502,
 -1224, -3644, 72,
 -1378, -3844, 62,
 -1382, -3844, 120,
 -1332, -3840, 356,
 -1290, -3666, 382,
 -1220, -3662, 838,
 -1164, -3676, 1180,
 -1144, -3404, 1778,
 -728, -2884, 2644,
 -448, -2428, 3176,
 -98, -900, 4034,
 180, -838, 3720,
 356, -72, 4910,
 912, 244, 4216,
 1096, 668, 4686,
 1296, 350, 4190,
 758, 508, 4064,
 684, 534, 4202,
 792, 410, 4188,
 788, 404, 4144,
 746, 440, 4190,
 704, 444, 4238,
 660, 320, 4130,
 894, 872, 4354,
 788, 324, 4362,
 572, 616, 5026,
 384, -220, 4460,
 -554, -228, 4466,
 -278, -940, 4022,
 -428, -1508, 3978,
 -672, -2044, 3642,
 -1106, -2440, 3020,
 -1224, -3068, 2412,
 -1148, -3360, 1620,
 -1240, -3716, 464,
 -1120, -3692, -80,
 -1128, -3960, -546,
 -1164, -3900, -826,
 -1110, -3904, -580,
 -1124, -3874, -326,
 -1148, -3960, -144,
 -1064, -3924, 290,
 -1042, -3764, 886,
 -956, -3512, 1446,
 -606, -3364, 2328,
 -372, -2970, 3020,
 -140, -2202, 3732,
 -264, -1292, 3702,
 -600, -792, 4212,
 704, -154, 5164,
 758, 268, 4486,
 690, -134, 4026,
 886, 108, 4088,
 1012, 478, 4086,
 698, 476, 4018,
 960, 652, 4122,
 812, 402, 4134,
 776, 344, 4306,
 932, 990, 4082,
 886, 420, 4738,
 612, -364, 4470,
 -12, -436, 4292,
 -138, -708, 4160,
 -152, -1514, 3980,
 -308, -2068, 3544,
 -392, -2436, 3232,
 -418, -2808, 2774,
 -712, -3148, 2434,
 -916, -3364, 1814,
 -1036, -3584, 1356,
 -1176, -3844, 860,
 -1106, -3688, 320,
 -1162, -3930, -270,
 -1182, -3882, -524,
 -1228, -3916, -722,
 -1188, -3802, -460,
 -1160, -3872, -240,
 -1100, -3866, 400,
 -1100, -3668, 830,
 -1184, -3662, 1424,
 -800, -3448, 1974,
 -556, -3296, 2392,
 -296, -2970, 2836,
 -196, -2532, 3280,
 -24, -2020, 3460,
 -400, -1624, 4078,
 -172, -1144, 3966,
 268, -664, 4272,
 516, -84, 4672,
 622, 6, 4668,
 900, 282, 4264,
 944, 64, 4100,
 920, 672, 4138,
 936, 368, 4134,
 1106, 392, 4254,
 928, 572, 4082,
 1020, 568, 4068,
 896, 936, 4440,
 500, -704, 4904,
 750, -82, 3932,
 254, -278, 4288,
 218, -992, 4178,
 -414, -1186, 4044,
 270, -1768, 3802,
 -12, -2232, 3402,
 -632, -2876, 2594,
 -552, -3216, 2140,
 -916, -3608, 1542,
 -1008, -3704, 814,
 -1200, -3696, 32,
 -1254, -3696, -472,
 -1356, -3732, -1068,
 -1356, -3744, -1076,
 -1328, -3896, -774,
 -1188, -3808, -236,
 -1162, -3806, 532,
 -1244, -3760, 898,
 -1080, -3568, 1352,
 -864, -3492, 1840,
 -472, -3166, 2666,
 -204, -2766, 2986,
 40, -2536, 3370,
 84, -1908, 3780,
 -52, -1376, 4070,
 116, -744, 3878,
 550, -354, 4522,
 516, -392, 4086,
 670, -40, 4246,
 756, 236, 4480,
 868, 334, 4180,
 784, 410, 4190,
 660, 226, 4260,
 924, 264, 4194,
 736, 576, 3766,
 736, 500, 4236,
 630, -504, 5194,
 -124, -100, 4290,
 -124, -256, 4172,
 148, -976, 4006,
 -236, -1446, 3858,
 -416, -2100, 3566,
 -812, -2564, 2758,
 -788, -3080, 2620,
 -810, -3480, 2056,
 -752, -3602, 1400,
 -948, -3802, 804,
 -900, -4012, 196,
 -892, -3956, -294,
 -954, -3960, -764,
 -962, -3802, -860,
 -824, -4000, -614,
 -770, -3870, -352,
 -808, -4040, 54,
 -880, -3878, 646,
 -732, -3708, 1024,
 -524, -3472, 1818,
 -316, -3102, 2324,
 -328, -2540, 2926,
 -40, -2346, 3382,
 236, -1382, 3504,
 240, -920, 4518,
 780, -368, 4500,
 920, 274, 4004,
 598, 44, 4176,
 492, 86, 3956,
 932, 748, 4126,
 936, 694, 4228,
 912, 474, 3992,
 728, 490, 4044,
 820, 622, 4366,
 932, 808, 3944,
 754, 392, 4932,
 -164, 62, 4246,
 224, -622, 4124,
 134, -1088, 4082,
 -282, -1624, 4056,
 -164, -1892, 3496,
 -612, -2558, 3172,
 -780, -2968, 2508,
 -940, -3292, 1886,
 -996, -3508, 1098,
 -1166, -3832, 714,
 -1178, -3782, -132,
 -1140, -3934, -554,
 -1216, -3742, -900,
 -1124, -3916, -980,
 -906, -3924, -804,
 -894, -3976, -428,
 -896, -3968, 36,
 -932, -3950, 524,
 -880, -3556, 1336,
 -520, -3386, 2038,
 -440, -2948, 2814,
 -202, -2428, 3276,
 134, -1800, 3560,
 460, -1228, 3932,
 672, -768, 4324,
 1156, -296, 4836,
 1012, 604, 4388,
 792, 568, 4160,
 1164, 176, 4264,
 664, 604, 4072,
 716, 448, 4152,
 736, 52, 4224,
 808, 850, 3952,
 760, -120, 4664,
 1164, -434, 4464,
 56, -358, 4972,
 152, -630, 3918,
 -98, -1392, 4164,
 -210, -1870, 3732,
 -236, -2160, 3530,
 -800, -2532, 2862,
 -988, -3512, 2452,
 -920, -3298, 1308,
 -1104, -3666, 684,
 -1000, -3924, -222,
 -1178, -3674, -1042,
 -970, -3760, -1158,
 -1168, -3678, -1540,
 -732, -3760, -1240,
 -902, -3912, -816,
 -846, -3956, -412,
 -758, -3954, 252,
 -828, -3794, 822,
 -772, -3598, 1322,
 -622, -3230, 2282,
 -132, -2712, 2936,
 -154, -1934, 2992,
 -66, -1412, 4108,
 320, -838, 4558,
 912, -552, 4828,
 796, 652, 4194,
 1212, 356, 4272,
 836, 580, 4174,
 690, 636, 4030,
 652, 554, 4172,
 818, 464, 4150,
 754, 682, 3892,
 814, 524, 4384,
 28, -202, 4820,
 -324, 786, 3928,
 -278, -490, 4224,
 -278, -1196, 4018,
 -266, -1788, 3698,
 -604, -2418, 3150,
 -452, -2824, 2684,
 -524, -3232, 2396,
 -562, -3512, 1578,
 -744, -3810, 1036,
 -712, -3720, 290,
 -882, -4112, -352,
 -956, -4074, -390,
 -856, -3980, -684,
 -860, -3820, -460,
 -828, -3960, -274,
 -850, -3904, 184,
 -780, -3790, 628,
 -784, -3598, 1394,
 -680, -3412, 1968,
 -298, -3242, 2670,
 -216, -3064, 3128,
 -180, -2426, 3456,
 24, -2592, 3056,
 380, -2596, 3496,
 62, -2704, 3370,
 92, -2672, 3160,
 76, -2766, 3198,
 82, -2748, 3124,
 104, -2716, 3236,
 128, -2724, 3150,
 132, -2778, 3218,
 144, -2788, 3138,
 84, -2846, 3152,
